#,SKU Code,SKU Name (original),Folder Name,Brand,Manufacturer,Pack,MRP,Image Count
91,8be15255-15d7-4208-8785-8740062317a5,"Grb Cow Ghee, 1 L","Grb Cow Ghee, 1 L",Grb,GRB DAIRY FOODS PVT.LTD.,1 Liter,939,0
92,8f99212b-32d6-48a9-9a52-f6b7830116db,"Grb Cow Ghee, 10 Ml","Grb Cow Ghee, 10 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,10 Milliliter,10,0
93,21813527-db82-4535-bf4f-ad9d2470d676,"Grb Cow Ghee, 100 Ml","Grb Cow Ghee, 100 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,100 Milliliter,113,0
94,ee80c6ed-fb25-4093-806e-abe6cf13b2e8,"Grb Cow Ghee, 20 Ml","Grb Cow Ghee, 20 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,20 Milliliter,20,0
95,1a15bd9d-6ac4-4c13-b55f-ce32178598b0,"Grb Cow Ghee, 200 Ml","Grb Cow Ghee, 200 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,200 Milliliter,200,0
96,01428352-0b37-4fea-989e-220f7d181e86,"Grb Cow Ghee, 50 Ml","Grb Cow Ghee, 50 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,50 Milliliter,59,0
97,e9b69527-1175-4dac-ad07-528840937312,"Grb Cow Ghee, 500 Ml","Grb Cow Ghee, 500 Ml",Grb,GRB DAIRY FOODS PVT.LTD.,500 Milliliter,475,0
98,7b1e8727-ec28-4fef-980c-38d189f58e1f,"Cycle Karpure Citrus Camphor , 60 Gm","Cycle Karpure Citrus Camphor , 60 Gm",Cycle,N. Ranga Rao & Sons Private Limited,60 Gram,199,0
99,f02170f5-13ee-4481-ac28-cc7aad884fa3,"Cycle Karpure Oudh Camphor, 60 Gm","Cycle Karpure Oudh Camphor, 60 Gm",Cycle,N. Ranga Rao & Sons Private Limited,60 Gram,199,0
100,7cb82650-0a55-4601-bbdb-c0f1e3a5f834,"Cycle Om Shanthi Camphor, 12 Gm","Cycle Om Shanthi Camphor, 12 Gm",Om Shanthi,N. Ranga Rao & Sons Private Limited,12 Gram,10,0
